,from,to,intensity.max,intensity.average,intensity.min,intensity.index
152,2024-01-29T00:00Z,2024-01-30T00:00Z,253,188,89,moderate
153,2024-01-30T00:00Z,2024-01-31T00:00Z,224,172,82,moderate
154,2024-01-31T00:00Z,2024-02-01T00:00Z,174,131,60,moderate
155,2024-02-01T00:00Z,2024-02-02T00:00Z,186,124,59,moderate
156,2024-02-02T00:00Z,2024-02-03T00:00Z,104,67,42,low
157,2024-02-03T00:00Z,2024-02-04T00:00Z,79,64,49,low
158,2024-02-04T00:00Z,2024-02-05T00:00Z,81,57,36,low
159,2024-02-05T00:00Z,2024-02-06T00:00Z,84,64,44,low
160,2024-02-06T00:00Z,2024-02-07T00:00Z,162,97,46,low
161,2024-02-07T00:00Z,2024-02-08T00:00Z,271,232,152,high
162,2024-02-08T00:00Z,2024-02-09T00:00Z,234,168,55,moderate
163,2024-02-09T00:00Z,2024-02-10T00:00Z,135,104,58,low
164,2024-02-10T00:00Z,2024-02-11T00:00Z,234,181,85,moderate
165,2024-02-11T00:00Z,2024-02-12T00:00Z,206,184,117,moderate
166,2024-02-12T00:00Z,2024-02-13T00:00Z,209,148,71,moderate
167,2024-02-13T00:00Z,2024-02-14T00:00Z,201,151,70,moderate
168,2024-02-14T00:00Z,2024-02-15T00:00Z,198,156,83,moderate
169,2024-02-15T00:00Z,2024-02-16T00:00Z,179,135,75,moderate
170,2024-02-16T00:00Z,2024-02-17T00:00Z,227,172,116,moderate
171,2024-02-17T00:00Z,2024-02-18T00:00Z,191,130,66,moderate
172,2024-02-18T00:00Z,2024-02-19T00:00Z,154,107,76,low
173,2024-02-19T00:00Z,2024-02-20T00:00Z,162,103,63,low
174,2024-02-20T00:00Z,2024-02-21T00:00Z,150,103,64,low
175,2024-02-21T00:00Z,2024-02-22T00:00Z,115,81,60,low
176,2024-02-22T00:00Z,2024-02-23T00:00Z,145,105,58,low
177,2024-02-23T00:00Z,2024-02-24T00:00Z,216,139,72,moderate
178,2024-02-24T00:00Z,2024-02-25T00:00Z,254,214,184,high
179,2024-02-25T00:00Z,2024-02-26T00:00Z,265,230,137,high
180,2024-02-26T00:00Z,2024-02-27T00:00Z,223,173,126,moderate
